x	y	z
     0.488      0.240    -13.076
     0.600     -0.339    -29.721
     0.519      0.075    -17.837
     0.489      0.448    -12.880
     0.515      0.138    -17.402
     0.497      0.299    -14.862
     0.453     -0.611    -12.003
     0.452      0.563     -8.113
     0.445     -0.243    -10.197
     0.464     -1.032    -15.361
     0.415     -0.503     -7.170
     0.504     -0.473    -19.031
     0.715     -0.396    -47.261
     0.539     -0.469    -23.933
     0.423     -0.661     -9.061
     0.454     -0.055    -11.238
     0.479      0.448    -13.100
     0.461     -0.033    -12.333
     0.487     -0.368    -17.306
     0.459     -0.633    -14.545
     0.421     -0.035     -7.582
     0.582     -0.104    -29.865
     0.478      0.252    -14.648
     0.592     -0.331    -32.215
     0.471     -0.132    -15.068
     0.424     -0.456     -9.710
     0.450     -1.243    -15.818
     0.324      0.243      5.987
     0.478      0.336    -15.130
     0.424      0.098     -8.624
     0.618     -0.122    -36.272
     0.493      0.171    -18.051
     0.376      0.291     -1.458
     0.421      0.043     -8.944
     0.443     -1.304    -16.434
     0.493     -0.531    -20.955
     0.422     -0.539    -11.053
     0.567     -0.576    -31.928
     0.550      1.623    -22.585
     0.448     -0.040    -13.647
     0.451      0.070    -13.806
     0.455     -0.025    -14.681
     0.413     -0.529    -10.459
     0.552     -0.259    -29.476
     0.355     -0.456     -2.031
     0.474     -0.015    -17.576
     0.478      0.149    -17.906
     0.569     -0.125    -31.895
     0.569      0.900    -28.689
     0.432      0.047    -11.980
     0.369     -0.542     -5.024
     0.459      0.410    -14.948
     0.555     -0.387    -31.638
     0.431      0.168    -11.774
     0.428     -0.083    -12.279
     0.432     -1.221    -16.656
     0.415     -0.104    -10.638
     0.445      0.217    -13.989
     0.385      0.521     -4.242
     0.494     -0.325    -22.965
     0.405      0.134     -8.584
     0.649     -0.525    -46.284
     0.419      0.325    -10.092
     0.462     -1.194    -21.488
     0.441      0.214    -14.340
     0.442     -0.036    -15.461
     0.498     -0.310    -24.497
     0.417     -0.229    -12.532
     0.396     -0.103     -9.055
     0.555     -0.889    -35.252
     0.402      0.195     -9.096
     1.106     -1.000   -117.516
     0.538     -0.123    -30.394
     0.431     -0.555    -15.930
     0.401      0.356     -8.564
     0.465      0.048    -19.344
     0.401     -0.556    -11.825
     0.471     -0.007    -20.501
     0.402      0.163     -9.739
     0.453     -0.212    -19.087
     0.482     -0.462    -24.483
     0.405     -0.583    -13.323
     0.393     -0.443    -11.404
     0.390     -0.570    -11.456
     0.454     -0.167    -19.886
     0.377     -0.517     -9.443
     0.395     -0.826    -13.275
     0.409     -1.105    -16.543
     0.415     -0.353    -14.907
     0.369      0.044     -6.740
     0.468     -0.067    -22.506
     0.508     -0.227    -29.487
     0.420     -0.724    -17.614
     0.375      0.285     -7.958
     0.408      0.466    -12.531
     0.421      0.611    -14.351
     0.396     -0.574    -14.321
     0.375      0.565     -7.314
     0.407      0.049    -14.278
     0.364      0.257     -6.774
     0.384     -1.714    -16.770
     0.385      0.365    -10.134
     0.390      0.641    -10.211
     0.413     -0.063    -16.383
     0.354      0.028     -6.927
     0.403      0.169    -14.404
     0.370     -0.555    -11.719
     0.387     -0.311    -14.044
     0.338      0.014     -5.164
     0.405     -0.208    -17.317
     0.398      0.161    -15.046
     0.412      0.924    -15.020
     0.387     -0.866    -17.022
     0.427     -0.298    -21.843
     0.324     -0.555     -5.660
     0.381     -0.329    -14.434
     0.425      0.124    -20.110
     0.401      0.232    -15.895
     0.455     -0.259    -26.614
     0.366     -0.283    -12.274
     0.374     -0.665    -15.054
     0.476     -0.278    -30.816
     0.374      0.380    -11.708
     0.363     -0.465    -12.698
     0.360     -1.260    -14.902
     0.357     -0.711    -12.894
     0.389      0.009    -16.100
     0.369      0.172    -12.341
     0.327     -0.698     -8.530
     0.406     -0.412    -21.088
     0.402     -0.143    -19.710
     0.410     -0.799    -23.269
     0.357     -0.379    -13.398
     0.340     -0.518    -11.025
     0.400     -0.347    -21.282
     0.431     -0.147    -26.142
     0.209      0.281     14.127
     0.358     -0.341    -13.985
     0.415     -0.070    -23.343
     0.384      0.154    -17.485
     0.344     -0.696    -13.408
     0.364     -0.014    -15.061
     0.343      0.602    -10.008
     0.351      0.028    -13.635
     0.352     -0.407    -15.168
     0.316      0.052     -7.178
     0.402     -0.679    -25.222
     0.358     -0.619    -17.147
     0.351      0.036    -13.773
     0.369     -0.439    -18.839
     0.355     -0.379    -16.086
     0.324     -0.427    -11.111
     0.369      0.124    -17.558
     0.333     -0.114    -11.903
     0.311     -0.521     -9.260
     0.289     -0.560     -5.280
     0.289      0.850     -0.982
     0.312      0.509     -6.361
     0.389      0.529    -20.746
     0.364      0.816    -15.239
     0.331     -1.019    -15.348
     0.354      0.140    -15.878
     0.351      0.031    -15.592
     0.309     -0.144     -8.660
     0.320     -0.895    -13.098
     0.339     -0.012    -13.985
     0.326     -0.860    -14.327
     0.290     -0.716     -7.229
     0.326     -0.427    -13.649
     0.284     -0.548     -6.086
     0.333      0.217    -13.048
     0.352     -0.299    -18.451
     0.369      0.048    -20.819
     0.332      0.325    -12.934
     0.299     -0.310     -8.736
     0.332     -0.359    -15.308
     0.336     -0.787    -17.784
     0.237      0.159      4.479
     0.353     -0.205    -19.468
     0.300     -0.421    -10.167
     0.307      0.039    -10.115
     0.354     -0.180    -20.155
     0.337     -0.757    -18.744
     0.284     -0.788     -8.499
     0.313     -0.786    -14.549
     0.294      0.199     -7.814
     0.352      0.501    -18.394
     0.307      0.277    -10.349
     0.297      0.311     -8.263
     0.297     -0.441    -11.015
     0.325      0.050    -15.345
     0.302      0.072    -10.787
     0.355     -0.611    -24.028
     0.284      0.660     -5.447
     0.293     -0.122    -10.120
     0.325     -0.249    -17.196
     0.326     -0.384    -17.939
     0.312      0.431    -12.566
     0.308      0.380    -12.055
     0.316      0.063    -14.694
     0.288      0.276     -8.273
     0.309     -0.012    -13.654
     0.300     -0.115    -12.095
     0.308      0.479    -12.330
     0.310     -0.265    -15.220
     0.312     -0.082    -15.010
     0.326      0.000    -17.974
     0.278      0.529     -6.322
     0.285     -0.046     -9.770
     0.349     -0.618    -25.241
     0.329     -0.054    -19.206
     0.308      0.527    -13.044
     0.244     -1.438     -6.146
     0.311     -0.481    -17.237
     0.272     -0.600     -9.391
     0.291      0.140    -11.193
     0.291     -0.052    -12.349
     0.328      0.151    -19.782
     0.276     -0.011     -9.151
     0.271     -0.535     -9.905
     0.369     -0.234    -30.420
     0.303     -0.444    -16.917
     0.288     -0.002    -12.657
     0.290     -0.187    -13.750
     0.277     -0.701    -12.730
     0.277     -0.581    -12.373
     0.333     -0.230    -23.951
     0.282     -0.192    -12.681
     0.292      0.171    -14.234
     0.276     -0.065    -11.462
     0.258      0.352     -6.342
     0.278     -0.195    -12.628
     0.278      0.305    -11.005
     0.253     -0.599     -8.447
     0.278     -0.285    -13.112
     0.277      0.262    -11.298
     0.290      0.135    -15.046
     0.291     -0.516    -17.642
     0.289     -0.504    -17.308
     0.308      0.119    -19.776
     0.264      0.277     -9.265
     0.269      0.027    -11.307
     0.271     -0.557    -14.011
     0.257     -0.745    -11.814
     0.285      0.393    -14.573
     0.276      0.021    -13.800
     0.239     -0.672     -7.539
     0.283      0.049    -15.763
     0.303      0.154    -20.231
     0.308     -0.269    -22.775
     0.319     -0.478    -25.976
     0.268      0.585    -11.490
     0.263     -0.727    -14.643
     0.253     -0.772    -12.314
     0.308     -0.004    -23.487
     0.214     -0.513     -2.758
     0.276      0.467    -14.877
     0.285      0.185    -17.948
     0.250      0.395     -9.309
     0.299     -0.347    -23.587
     0.289      0.204    -19.686
     0.260      0.054    -13.392
     0.235     -0.115     -8.781
     0.291      0.003    -22.124
     0.270     -0.406    -18.469
     0.235      0.419     -7.421
     0.234     -0.058     -8.666
