ID d_V d_I
OGLE-LMC-CEP-0078 51.3929356898856 51.4623463904424
OGLE-LMC-CEP-0087 47.3899823273319 47.3174656994397
OGLE-LMC-CEP-0089 58.5111127421665 58.4727039479485
OGLE-LMC-CEP-0090 51.4382920384106 51.423770631469
OGLE-LMC-CEP-0091 49.3347831955354 49.2205783308982
OGLE-LMC-CEP-0094 56.9009204317296 56.7028087555102
OGLE-LMC-CEP-0095 49.6407188752472 49.559312653366
OGLE-LMC-CEP-0100 53.1530716777624 53.2604640502173
OGLE-LMC-CEP-0101 54.9801294807315 54.849718968661
OGLE-LMC-CEP-0103 47.0836140968189 47.2809665193183
OGLE-LMC-CEP-0104 50.0178350569655 49.8698067769788
OGLE-LMC-CEP-0105 51.3814217605076 51.2992554349555
OGLE-LMC-CEP-0106 51.0665771542967 51.0182978241095
OGLE-LMC-CEP-0107 47.7514737232651 47.8054294988982
OGLE-LMC-CEP-0108 55.2539115311945 55.3988471592141
OGLE-LMC-CEP-0109 52.7757915986558 52.6812141902627
OGLE-LMC-CEP-0111 48.4608364971496 48.2975187604788
OGLE-LMC-CEP-0116 52.0096677039956 52.0673427476729
OGLE-LMC-CEP-0122 51.639379903189 51.6193200602589
OGLE-LMC-CEP-0123 56.4264056068445 56.2873908359045
OGLE-LMC-CEP-0126 51.9642116184861 51.9199818793001
OGLE-LMC-CEP-0128 50.7760887179732 50.7701931429771
OGLE-LMC-CEP-0130 63.4992994755759 63.1736880647873
OGLE-LMC-CEP-0131 49.8969016773928 49.6649934481141
OGLE-LMC-CEP-0132 52.0680152822717 51.9376484601375
OGLE-LMC-CEP-0138 50.7522004797745 50.5032882129917
OGLE-LMC-CEP-0139 53.4327664059701 53.3766115686131
OGLE-LMC-CEP-0140 49.8542744127162 49.8738235838799
OGLE-LMC-CEP-0142 52.0345585985526 51.9029914335978
OGLE-LMC-CEP-0149 51.3429179591037 50.9179941638298
OGLE-LMC-CEP-0151 50.9352306869502 50.8219826866517
OGLE-LMC-CEP-0152 42.9121099004159 42.950785827012
OGLE-LMC-CEP-0154 52.376698194509 52.3426998591052
OGLE-LMC-CEP-0155 49.125679713443 49.1303678801885
OGLE-LMC-CEP-0158 51.3492646751853 51.0659467155922
OGLE-LMC-CEP-0159 51.2611826155558 51.226304740819
OGLE-LMC-CEP-0160 32.8375179038233 32.853492364457
OGLE-LMC-CEP-0161 47.1514126340688 47.1556625317965
OGLE-LMC-CEP-0162 49.6231879120108 49.6541488170601
OGLE-LMC-CEP-0163 48.7317987154424 48.725326399855
OGLE-LMC-CEP-0164 51.5962405887838 51.6107835910398
OGLE-LMC-CEP-0165 50.3625696945587 50.2711265529557
OGLE-LMC-CEP-0166 49.3605191779444 49.3735763820202
OGLE-LMC-CEP-0168 51.006727355106 50.9940729378888
OGLE-LMC-CEP-0169 52.9561785630522 53.0369174477542
OGLE-LMC-CEP-0170 54.7957974207568 54.773836090417
OGLE-LMC-CEP-0171 50.7252157913144 50.5412679414478
OGLE-LMC-CEP-0172 52.8640178964464 52.927798374325
OGLE-LMC-CEP-0173 49.9097728255478 49.7944176329646
OGLE-LMC-CEP-0175 52.6684366525237 52.8543307445307
OGLE-LMC-CEP-0176 48.8704243929806 48.7152656771319
OGLE-LMC-CEP-0177 49.4336366970444 49.4181076436871
OGLE-LMC-CEP-0179 51.861874636972 51.9036493691941
OGLE-LMC-CEP-0180 50.6825572992285 50.6178841011874
OGLE-LMC-CEP-0181 50.9192545773438 50.9459482444376
OGLE-LMC-CEP-0186 54.8023992162482 54.4138216658857
OGLE-LMC-CEP-0188 52.1929872647539 52.3756491804754
OGLE-LMC-CEP-0189 52.4235579736975 52.4778959545517
OGLE-LMC-CEP-0191 51.4105049921871 51.3755348092488
OGLE-LMC-CEP-0194 50.4649372453989 50.4984588898275
OGLE-LMC-CEP-0196 50.6488626663523 50.7312750275495
OGLE-LMC-CEP-0197 49.8838205449426 49.9642294353155
OGLE-LMC-CEP-0198 50.3516610075183 50.2693199604142
OGLE-LMC-CEP-0199 51.4063980364149 51.411841086161
OGLE-LMC-CEP-0201 50.3300843288609 50.217328830149
OGLE-LMC-CEP-0205 52.7158839845993 52.7534321973893
OGLE-LMC-CEP-0206 48.7546955665363 48.7683295135809
OGLE-LMC-CEP-0209 48.453830625886 48.4896098694866
OGLE-LMC-CEP-0210 49.4336759148595 49.4199032516521
OGLE-LMC-CEP-0211 48.2182356514194 48.2618636354078
OGLE-LMC-CEP-0213 52.7488508849695 52.8663828035506
OGLE-LMC-CEP-0214 52.4935258296559 52.4368172363522
OGLE-LMC-CEP-0215 52.2310616758074 51.8175741305568
OGLE-LMC-CEP-0216 50.8812036416208 50.9536176929305
OGLE-LMC-CEP-0217 52.7916557483367 52.6660434819098
OGLE-LMC-CEP-0218 53.805196609144 53.763262587683
OGLE-LMC-CEP-0222 49.4436620414396 49.4635222581875
OGLE-LMC-CEP-0223 51.0649073552279 50.9891648039993
OGLE-LMC-CEP-0224 31.4888523107979 31.3289618043083
OGLE-LMC-CEP-0225 50.9591137558708 51.1686721033977
OGLE-LMC-CEP-0226 48.550193529783 48.5921817517693
OGLE-LMC-CEP-0227 33.8046408917803 33.6688270937117
OGLE-LMC-CEP-0229 53.092305965951 52.8360643968426
OGLE-LMC-CEP-0230 51.796703737481 51.938061842935
OGLE-LMC-CEP-0235 53.1983175372136 52.9644692383443
OGLE-LMC-CEP-0236 53.5498568551818 53.4186064812277
OGLE-LMC-CEP-0237 50.3740872767575 50.4624334522776
OGLE-LMC-CEP-0238 51.9248322733446 51.7414786099202
OGLE-LMC-CEP-0239 51.7770705975747 51.6089971148815
OGLE-LMC-CEP-0246 48.096009964637 48.3022130293759
OGLE-LMC-CEP-0250 50.1394381264914 50.2175522103517
OGLE-LMC-CEP-0253 47.932099649911 47.9001817523293
OGLE-LMC-CEP-0254 52.3769104334979 52.4827354440064
OGLE-LMC-CEP-0255 50.889761757705 50.6812457831359
OGLE-LMC-CEP-0257 51.839818158081 51.8927318563029
OGLE-LMC-CEP-0258 48.7572620183272 48.7869402680055
OGLE-LMC-CEP-0262 49.8640504190422 50.0320480471456
OGLE-LMC-CEP-0263 50.6836706347506 50.5378484791915
OGLE-LMC-CEP-0264 47.4566929821469 47.220945455022
OGLE-LMC-CEP-0266 53.4428106983253 53.4576618555449
OGLE-LMC-CEP-0267 50.0819351481366 49.9000372754007
OGLE-LMC-CEP-0269 50.6041100014705 50.6254357505246
OGLE-LMC-CEP-0270 55.9687514271776 56.0353849745229
OGLE-LMC-CEP-0271 47.6747312193556 47.6832853705987
OGLE-LMC-CEP-0272 51.9463660958658 52.0324857707501
OGLE-LMC-CEP-0273 50.3419014309705 50.4063488300718
OGLE-LMC-CEP-0274 50.0978940550964 50.2627414517593
OGLE-LMC-CEP-0275 51.919999957188 52.05060388198
OGLE-LMC-CEP-0276 49.2271075547248 49.1827716859531
OGLE-LMC-CEP-0278 51.0800832444273 50.9742911603159
OGLE-LMC-CEP-0279 53.1914766448023 53.3555224117382
OGLE-LMC-CEP-0280 49.3865790340098 49.2446371739465
OGLE-LMC-CEP-0281 55.4509406822141 55.3301167488834
OGLE-LMC-CEP-0282 51.4548966604492 51.3046759492307
OGLE-LMC-CEP-0285 50.3460877166408 50.031839516221
OGLE-LMC-CEP-0286 39.2601077745465 39.2144053155169
OGLE-LMC-CEP-0289 50.2111391788242 50.2026655039588
OGLE-LMC-CEP-0290 48.7362666729292 48.6610853692918
OGLE-LMC-CEP-0291 51.6135807688099 51.5161704485395
OGLE-LMC-CEP-0292 50.8286635027919 50.9712859257229
OGLE-LMC-CEP-0293 49.4877110688704 49.4795704244622
OGLE-LMC-CEP-0295 50.2732418654473 50.1785464236547
OGLE-LMC-CEP-0296 50.282409315446 50.2348880210346
OGLE-LMC-CEP-0299 51.0471088291449 51.1663322778665
OGLE-LMC-CEP-0301 52.7401682009822 52.7611652097895
OGLE-LMC-CEP-0303 56.2802244341734 56.1959765122177
OGLE-LMC-CEP-0304 51.8896310459706 51.9247911697564
OGLE-LMC-CEP-0306 49.2098203736255 49.2379086285086
OGLE-LMC-CEP-0308 54.6627134905576 54.5572373427015
OGLE-LMC-CEP-0313 50.4396304306198 50.405065466827
OGLE-LMC-CEP-0316 50.2209827761835 50.3036888437679
OGLE-LMC-CEP-0317 52.5672655003584 52.6391728957939
OGLE-LMC-CEP-0319 47.9996291284428 47.965386737473
OGLE-LMC-CEP-0321 48.8908907794382 48.8694860912553
OGLE-LMC-CEP-0322 53.1391062902722 53.2630448887995
OGLE-LMC-CEP-0324 55.8154448326757 55.1697981862445
OGLE-LMC-CEP-0325 51.2928509532829 51.1607461711411
OGLE-LMC-CEP-0329 49.751842098049 49.9289591546048
OGLE-LMC-CEP-0331 49.0399216486349 48.9804897205564
OGLE-LMC-CEP-0332 43.5341771673593 43.5729437966544
OGLE-LMC-CEP-0333 50.9404490170143 50.8697986778714
OGLE-LMC-CEP-0335 52.1901056038248 52.2119016474544
OGLE-LMC-CEP-0337 52.9914641261549 52.8085962316172
OGLE-LMC-CEP-0339 48.6350936960641 48.7839067310874
OGLE-LMC-CEP-0340 52.8222251636243 52.7754957269968
OGLE-LMC-CEP-0345 56.8590760999181 56.8144724817481
OGLE-LMC-CEP-0346 56.3962233963339 56.2878734610638
OGLE-LMC-CEP-0349 55.3046937311816 55.273066328509
OGLE-LMC-CEP-0350 53.5831025824988 53.2644058797093
OGLE-LMC-CEP-0351 55.5797655117054 55.4387566455296
OGLE-LMC-CEP-0352 48.8975514004508 48.8745088739322
OGLE-LMC-CEP-0353 50.846231636292 50.8821927331451
OGLE-LMC-CEP-0354 48.8214197167473 49.007708994189
OGLE-LMC-CEP-0357 52.6747833645304 52.7751896432931
OGLE-LMC-CEP-0359 55.6277912399023 55.8677943499809
OGLE-LMC-CEP-0361 53.2751826602631 53.3388761141629
OGLE-LMC-CEP-0362 51.1791100199359 51.2485178125603
OGLE-LMC-CEP-0364 50.5907843913982 50.7029458583653
OGLE-LMC-CEP-0365 49.5029476222323 49.7210252975471
OGLE-LMC-CEP-0366 44.415042607558 44.4977086760542
OGLE-LMC-CEP-0369 49.5983039231495 49.5621909711593
OGLE-LMC-CEP-0370 53.3480791814565 53.3242608723046
OGLE-LMC-CEP-0373 49.0594695084187 49.3126803494586
OGLE-LMC-CEP-0377 45.2206389142125 45.235853219118
OGLE-LMC-CEP-0378 49.4841839862193 49.6949545160197
OGLE-LMC-CEP-0380 55.0322281969986 54.9824921741401
OGLE-LMC-CEP-0382 51.4037259905141 51.4789053770584
OGLE-LMC-CEP-0384 50.4853451070918 50.6011234224352
OGLE-LMC-CEP-0385 77.540838774291 78.6500856020168
OGLE-LMC-CEP-0387 51.8428699795936 51.9777395837597
OGLE-LMC-CEP-0390 50.1929631333567 50.3541440634946
OGLE-LMC-CEP-0392 51.9211079530824 51.8693825614074
OGLE-LMC-CEP-0394 50.9967984838633 50.8589260189932
OGLE-LMC-CEP-0396 50.8816614282077 51.1169605136553
